,Apk,Result,Time,Mem(GB),Heuristic,#Snapshots,Mode,#Sources,#Sinks,#classes,#methods,#cg_edges,#flows,#additional flows,#missing flows,#TP,#FP,#TN,#FN,#unknown
253,com.google.android.calendar,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
254,com.rovio.angrybirdsrio,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
255,com.gameloft.android.ANMP.GloftA8HM,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
256,com.jb.gosms,Exit status: 0,3:04:04,79.86701202392578,none,0,full static,132,131,23629,143186,190270,383,0,0,0,0,0,0,383
257,com.jb.gosms,Exit status: 0,1:37:35,82.39273834228516,first_only,1/66,d,44,57,23629,143177,70873,136,48,295,0,0,0,0,136
258,com.jb.gosms,Exit status: 0,1:51:26,80.40342330932617,first_only,1/66,sf,88,109,23629,143181,135405,344,167,206,0,0,0,0,344
259,com.jb.gosms,Exit status: 0,1:33:24,82.71765518188477,last_only,1/66,d,42,56,23629,143177,70801,187,114,310,0,0,0,0,187
260,com.jb.gosms,Exit status: 0,1:58:09,83.05610656738281,last_only,1/66,sf,87,99,23629,143181,134414,320,150,213,0,0,0,0,320
261,com.jb.gosms,Exit status: 0,2:11:13,82.78395080566406,activity_last,28/66,d,59,68,23629,143181,91377,169,72,286,0,0,0,0,169
262,com.jb.gosms,Exit status: 0,2:40:55,82.46294784545898,activity_last,28/66,sf,83,105,23629,143186,152898,316,136,203,0,0,0,0,316
263,com.jb.gosms,Exit status: 130,6:08:12,81.74365615844727,activity_last,28/66,i,50,70,0,0,71378,158,75,300,0,0,0,0,158
264,com.jb.gosms,Exit status: 0,2:21:57,81.0511474609375,action_all,66/66,d,63,83,23629,143181,96946,203,79,259,0,0,0,0,203
265,com.jb.gosms,Exit status: 0,2:44:13,83.10414123535156,action_all,66/66,sf,111,116,23629,143186,157934,431,211,163,0,0,0,0,431
266,com.jb.gosms,Exit status: 130,6:08:12,85.8407974243164,action_all,66/66,i,67,80,0,0,74007,186,90,287,0,0,0,0,186
267,com.samsung.android.oneconnect,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
268,com.creativemobile.DragRacing,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
269,com.sec.android.gallery3d,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
270,com.microsoft.office.powerpoint,No snapshots found,0,0.0,none,0,full static,0,0,0,0,0,0,0,0,0,0,0,0,0
